WORD         TOTFREQ    XFREQ    NSENT    NWORD
eagle          14321    11989    34385   780484
mouse          14258    11140    35427   767889
chair          14177     9743    35684   769008
tokyo          14131    11778    34219   778298
shadow         13928    10671    34706   800800
grace          13910     9228    35355   802992
deck           13877    10907    38570   814117
pan            13863     8333    33705   783474
ghost          13810    11403    35809   803540
plastic        13799    11878    35741   778757
stream         13722    10354    36207   779744
angel          13612    11172    36283   810241
tie            13425    10700    36219   807577
palm           13219     9121    36704   783702
diamond        13172    10213    35897   785066
horn           13145     8939    35286   791737
jet            13071    10767    35136   784348
moscow         13051    10774    35235   779131
dress          12907    10773    36700   815203
mercury        12708     9323    34762   794566
lion           12396    10690    36520   802446
root           12362     9884    34525   735594
soldier        12292    10803    35207   798967
cap            12213     9238    35672   784129
alien          12192     9999    36634   813360
pit            12086     9555    38569   825151
mail           11630     9468    34930   785631
net            11573     9963    35064   774936
seal           11472     8768    35398   797345
conductor      11077     6383    33658   758851
compound       10947     7973    35747   726408
laser          10862     9074    33502   741937
grass          10797     8040    37793   780699
bed            10399     8656    36802   782565
yard           10385     8947    37321   827424
bow            10366     7941    39258   808838
switch         10311     8452    34446   778811
kid            10301     8136    35111   818143
cotton         10195     7913    37902   786245
robot          10179     8448    34778   789039
helicopter     10121     8333    34777   792782
pipe            9945     7475    35491   780238
shakespeare     9882     7228    35624   802055
hood            9841     7129    36625   806250
lock            9682     7136    35355   802259
scientist       9515     8296    35807   772089
duck            9277     7630    33386   765035
check           9129     7626    36415   780446
witch           9122     6806    35847   827620
wake            9116     6750    35599   796641
embassy         9085     5063    33567   767318
lawyer          8999     7610    34091   790547
swing           8999     6275    34144   798472
casino          8978     6369    35788   801066
stick           8826     7062    36256   801229
chest           8799     7285    37325   798651
triangle        8729     6505    30838   711088
jam             8603     5765    34430   807425
ruler           8515     6188    37007   792217
flute           8408     5979    34597   786563
whale           8408     7001    36940   795802
shark           8334     6531    36405   806683
boom            8308     6112    35782   799548
lab             8256     5864    33828   747667
chocolate       8174     6178    36044   793724
beijing         8143     6046    34935   784221
trunk           8077     5449    40816   791865
cliff           7980     5970    36866   802677
spell           7946     5399    37361   818006
button          7923     6505    35779   806128
hook            7761     5705    37910   798156
log             7607     5475    23941   598512
knife           7555     6008    37019   813963
honey           7494     5658    35866   799590
fork            7420     4584    36666   796538
pistol          7311     5834    36165   814846
spy             7183     5824    37708   825919
nurse           7179     5006    35655   794416
pin             7158     5654    37575   805328
hawk            6978     5449    32767   773305
dwarf           6973     5106    35647   787298
telescope       6846     5087    34586   773820
spider          6825     4933    37280   787783
marble          6808     5030    37065   798912
maple           6730     4661    36245   785877
vacuum          6687     5934    30896   713054
bottle          6681     5078    36701   803915
rabbit          6616     5382    35295   798497
amazon          6489     4537    36722   801204
berry           6486     4384    36704   787562
spike           6477     4637    35270   807884
crane           6459     4418    35592   793714
jupiter         6378     5467    34593   794430
olive           6345     5026    37251   796274
buck            6243     4004    34988   799755
penguin         6024     4776    37671   784649
luck            5964     4420    37008   827273
mint            5839     3696    36588   794594
saturn          5819     4966    33881   800165
pirate          5774     4289    37396   815965
tooth           5497     4263    38653   779756
ninja           5461     4561    34685   810476
bark            5267     3741    39727   785040
pound           5241     3897    38605   812285
ham             5224     3307    34974   804353
antarctica      5082     3763    35913   777443
ivory           5010     3134    35738   786365
poison          4983     4105    36479   790993
boot            4968     3862    36173   808437
drill           4943     3975    35700   791968
bolt            4921     3965    32895   790907
pyramid         4876     3613    35582   788312
dinosaur        4781     3460    34850   780216
bug             4696     3059    37692   795333
fence           4629     3506    37366   808635
bermuda         4505     3473    34021   795780
pie             4505     3563    36094   804122
shoe            4378     3444    35848   798258
ambulance       4338     3574    37400   785253
ice_cream       4301     3630    35674   803743
superhero       4193     3606    35342   814882
genius          4177     3244    36613   804728
slip            4051     3099    35151   796421
brush           3985     2906    37658   793031
parachute       3920     2964    36839   801683
tap             3884     2980    35519   794117
lemon           3867     3100    35887   797373
whip            3788     2507    36425   802918
alps            3779     2402    36014   786404
undertaker      3777     2943    36241   820532
thumb           3712     3256    36604   800812
pupil           3657     2413    37888   776614
spine           3644     2471    38250   782701
atlantis        3619     2962    34048   801910
thief           3606     2772    36678   829217
sink            3570     2812    36692   790641
pants           3548     2937    38356   850943
mole            3383     2799    33841   780936
sub             3343     2363    35097   754643
tablet          3254     2260    35870   787417
dice            3184     2554    33331   792046
worm            3157     2387    37431   790334
nut             3142     2795    36198   780377
needle          3040     2576    36478   792666
nail            2911     2326    34804   797871
torch           2901     2333    34783   808065
scorpion        2853     2496    36467   814536
octopus         2841     2310    37144   805275
glove           2659     2138    36359   814292
paste           2618     2198    36323   800680
straw           2453     2066    36869   804849
horseshoe       2365     1843    35930   792536
kangaroo        2281     1815    34273   799158
aztec           2190     1715    35845   791666
litter          2176     1880    37487   800703
mammoth         2161     1647    33867   793761
microscope      2118     1668    34592   751686
calf            2068     1620    35142   806206
skyscraper      2066     1563    36003   805326
unicorn         2047     1679    34862   802974
millionaire     1990     1443    35581   808230
chick           1949     1453    35809   808628
himalayas       1720     1153    38616   787021
olympus         1691     1152    39013   815536
cloak           1603     1407    36481   814227
pumpkin         1570     1205    35184   800324
roulette        1485      860    35192   802694
centaur         1357      961    37105   803080
slug            1290      969    37403   815133
carrot          1250      966    37392   801151
tick            1180      885    36093   790174
bugle           1030      684    38957   814682
kiwi            1026      719    35839   789453
snowman         1009      585    36508   804769
ketchup          946      521    34701   803091
limousine        815      511    35688   813803
racket           800      435    36363   802466
loch_ness        776      310    35454   800499
platypus         757      361    31705   771717
sock             750      612    36158   822371
washer           710      432    36919   804108
vet              629      478    37145   798498
leprechaun       586      276    35335   818590
mug              556      391    35062   816634
smuggler         497      355    36369   803661
scuba_diver      280      103    34695   803616
